Date,Injection Count,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2,Trans-stilbene ent 1,Trans-stilbene ent2,Flavanone ent 1,Flanone ent 2
12/14/21,,1.09,1.34,2.28,3.86,0.88,1.05,1.15,1.23,0.71,0.81,1.2,1.25,0.81,0.84,1.72,3.34,3.25,4.4,4.2,4.82,0.96,1.04,2.08,2.98
12/20/21,,1.04,1.25,2.16,3.6,0.9,1.09,1.16,1.25,0.72,0.82,1.21,1.26,0.8,0.82,1.71,3.3,3.29,4.47,4.25,4.88,0.94,0.99,1.99,2.68
1/3/22,,1.04,1.25,2.12,3.57,0.89,1.05,1.15,1.24,0.71,0.82,1.21,1.25,0.82,0.82,1.7,3.26,3.28,4.45,4.24,4.86,0.95,1.01,2.04,2.75
1/10/22,1619,1.09,1.33,2.28,3.89,0.89,1.06,1.15,1.24,0.71,0.82,1.21,1.26,0.82,0.82,1.71,3.27,3.29,4.46,4.25,4.87,0.96,1.01,2.04,2.75
1/17/22,1927,1.21,1.52,2.5,4.37,0.89,1.07,1.16,1.24,0.72,0.82,1.22,1.27,0.82,0.82,1.71,3.27,3.3,4.47,4.26,4.88,0.96,1.02,2.05,2.77
1/24/22,2229,1.14,1.4,2.4,4.15,0.89,1.08,1.16,1.25,0.72,0.83,1.22,1.27,0.84,0.84,1.75,3.38,3.3,4.47,4.24,4.87,0.97,1.05,2.08,2.95
1/31/22,2529,1.17,1.54,2.44,4.26,0.88,1.08,1.15,1.24,0.71,0.82,1.21,1.26,0.84,0.84,1.74,3.41,3.3,4.46,4.26,4.89,0.95,1.01,2.05,2.78
2/7/22,3078,1.07,1.29,2.21,3.69,0.89,1.08,1.15,1.24,0.71,0.82,1.21,1.26,0.84,0.84,1.74,3.36,3.29,4.46,4.25,4.88,0.95,1.02,2.03,2.8
2/14/22,3157,1.07,1.28,2.2,3.69,0.89,1.09,1.16,1.25,0.72,0.83,1.22,1.27,0.84,0.84,1.75,3.4,3.28,4.44,4.23,4.85,0.97,1.04,2.07,2.88
2/21/22,3420,1.08,1.29,2.21,3.67,0.89,1.08,1.15,1.24,0.71,0.83,1.21,1.26,0.83,0.83,1.73,3.35,3.24,4.38,4.17,4.77,0.92,0.98,1.96,2.66
3/14/22,4985,1.08,1.32,2.23,3.71,0.89,1.08,1.15,1.24,0.71,0.82,1.2,1.25,0.81,0.81,1.69,3.24,3.26,4.41,4.2,4.8,0.96,1.02,2.04,2.76
4/4/22,5656,1.14,1.43,2.37,4.1,0.89,1.07,1.15,1.24,0.71,0.82,1.21,1.25,0.83,0.83,1.72,3.3,3.23,4.37,4.15,4.75,0.96,1.02,2.05,2.78
4/18/22,5767,1.09,1.32,2.28,3.87,0.88,1.08,1.14,1.24,0.71,0.82,1.21,1.26,0.83,0.85,1.78,3.51,3.3,4.46,4.26,4.9,0.95,1.02,2.04,2.8
4/25/22,6052,1.07,1.29,2.23,3.77,0.88,1.06,1.14,1.23,0.71,0.82,1.2,1.25,0.81,0.83,1.74,3.37,3.23,4.37,4.16,4.76,0.94,1,2,2.75
5/10/22,6372,1.07,1.29,2.22,3.7,0.88,1.04,1.15,1.23,0.7,0.82,1.21,1.25,0.8,0.82,1.75,3.41,3.23,4.37,4.15,4.77,0.92,0.99,1.99,2.79
5/24/22,6805,1.01,1.21,2.06,3.44,0.86,1.02,1.12,1.19,0.69,0.8,1.18,1.23,0.76,0.78,1.64,3.13,3.22,4.35,4.14,4.75,0.85,0.9,1.78,2.41
6/6/22,7171,1.1,1.34,2.29,3.94,0.86,1.03,1.12,1.2,0.69,0.79,1.18,1.22,0.8,0.8,1.67,3.18,3.18,4.29,4.08,4.68,0.94,0.99,2,2.7
6/13/22,,1.08,1.29,2.23,3.81,0.87,1.04,1.14,1.22,0.7,0.8,1.19,1.23,0.8,0.8,1.68,3.2,3.21,4.33,4.12,4.72,0.95,1.01,2.02,2.74
6/17/22,,1.13,1.39,2.34,4.07,0.87,1.04,1.14,1.22,0.7,0.8,1.19,1.24,0.8,0.82,1.72,3.35,3.21,4.33,4.13,4.73,0.94,1.02,2.02,2.82
6/20/22,7473,1.06,1.26,2.18,3.63,0.88,1.06,1.15,1.23,0.7,0.8,1.19,1.24,0.82,0.82,1.71,3.31,3.23,4.37,4.16,4.76,0.96,1.04,2.08,2.94
6/27/22,7539,1.08,1.29,2.22,3.74,0.87,1.03,1.14,1.22,0.69,0.8,1.19,1.23,0.81,0.81,1.69,3.24,3.21,4.34,4.13,4.73,0.94,1.02,2.03,2.85
8/1/22,7939,1.09,1.31,2.27,3.86,0.86,1.01,1.13,1.2,0.69,0.79,1.19,1.23,0.79,0.82,1.69,3.31,3.16,4.27,4.07,4.66,0.94,1.02,2.01,2.82
8/29/22,9085,1.05,1.22,2.13,3.51,0.87,1.06,1.14,1.22,0.7,0.8,1.19,1.24,0.8,0.82,1.72,3.31,3.26,4.41,4.19,4.81,0.95,1,2.02,2.73
9/6/22,,1.05,1.23,2.14,3.54,0.87,1.06,1.14,1.23,0.7,0.8,1.19,1.24,0.8,0.81,1.71,3.27,3.24,4.37,4.16,4.77,0.93,0.98,1.96,2.65
10/3/22,9968,1.1,1.3,2.26,3.77,0.61,0.87,1.15,1.24,0.7,0.81,1.21,1.25,0.83,0.85,1.79,3.56,3.33,4.5,4.27,4.89,0.99,1.08,2.12,3.07
17-Oct,10379,1.05,1.24,2.15,3.54,0.88,1.05,1.14,1.23,0.71,0.81,1.2,1.24,0.82,0.82,1.7,3.29,3.23,4.37,4.15,4.75,0.95,1.01,2.02,2.71
10/31/22,29,1.03,1.23,2.1,3.5,0.88,1.06,1.15,1.23,0.7,0.8,1.19,1.23,0.83,0.83,1.74,3.41,3.23,4.37,4.15,4.76,0.92,0.98,1.95,2.63
11/14/22,419,1.06,1.26,2.22,3.59,0.87,1.06,1.14,1.22,0.7,0.8,1.19,1.25,0.8,0.82,1.75,3.45,3.28,4.44,4.22,4.85,0.94,1.02,2.05,2.9
11/29/22,619,1.09,1.32,2.26,3.82,0.87,1.04,1.14,1.22,0.7,0.8,1.19,1.23,0.8,0.83,1.72,3.32,3.22,4.36,4.14,4.73,0.94,1,2.01,2.72
12/12/22,1116,1.1,1.34,2.29,3.9,0.88,1.04,1.15,1.23,0.7,0.8,1.19,1.23,0.8,0.82,1.71,3.3,3.22,4.35,4.12,4.72,0.95,1.01,2.03,2.75
1/3/23,1661,1.1,1.4,2.26,3.94,0.87,1.03,1.13,1.21,0.69,0.8,1.18,1.23,0.81,0.83,1.73,3.35,3.23,4.37,4.14,4.75,0.94,1.01,2.02,2.8
1/17/23,2127,1.09,1.31,2.25,3.79,0.88,1.05,1.15,1.23,0.69,0.8,1.18,1.23,0.8,0.83,1.73,3.31,3.26,4.41,4.18,4.79,0.95,1,2.02,2.72
1/30/23,2389,1.09,1.35,2.24,3.82,0.88,1.07,1.14,1.23,0.69,0.8,1.19,1.23,0.8,0.81,1.69,3.21,3.23,4.37,4.14,4.75,0.95,1.02,2.04,2.78
2/13/23,2638,1.11,1.36,2.29,3.93,0.87,1.05,1.14,1.22,0.7,0.98,1.18,1.23,0.79,0.82,1.71,3.27,3.2,4.33,4.1,4.69,0.86,0.92,1.82,2.44
2/27/23,2990,1.09,1.3,2.24,3.76,0.87,1.03,1.31,1.21,0.69,0.8,1.18,1.23,0.76,0.77,1.59,2.99,3.21,4.34,4.1,4.7,0.85,0.91,1.8,2.42
3/13/23,3316,1.08,1.27,2.21,3.69,0.87,1.05,1.13,1.22,0.7,0.8,1.18,1.23,0.8,0.81,1.69,3.22,3.21,4.34,4.11,4.71,0.95,1.01,2.03,2.77
3/27/23,3671,1.05,1.24,2.13,3.5,0.88,1.05,1.15,1.23,0.69,0.79,1.18,1.22,0.8,0.81,1.68,3.2,3.21,4.34,4.1,4.7,0.95,1.01,2.01,2.74
4/10/23,3955,1.05,1.25,2.13,3.51,0.87,1.06,1.14,1.22,0.69,0.79,1.16,1.2,0.8,0.82,1.71,3.29,3.2,4.33,4.09,4.69,0.92,0.97,1.94,2.62
4/24/23,4306,1.05,1.22,2.12,3.49,0.87,1.05,1.13,1.21,0.69,0.78,1.16,1.2,0.8,0.81,1.69,3.21,3.19,4.3,4.08,4.67,0.94,1,1.99,2.7
5/8/23,4622,1.03,1.26,2.09,3.5,0.85,1.02,1.12,1.19,0.68,0.77,1.15,1.19,0.8,0.81,1.68,3.21,3.18,4.29,4.07,4.66,0.94,1,2,2.74
6/12/23,,1.04,1.21,2.1,3.46,0.88,1.02,1.14,1.21,0.69,0.78,1.16,1.2,0.79,0.81,1.68,3.2,3.2,4.32,4.1,4.69,0.91,0.96,1.92,2.56
6/26/23,5455,1.04,1.22,2.1,3.45,0.86,1.03,1.11,1.19,0.68,0.78,1.15,1.19,0.8,0.81,1.69,3.21,3.2,4.32,4.09,4.68,0.94,1,2,2.69
7/31/23,6538,1.07,1.26,2.18,3.64,0.87,1.05,1.13,1.21,0.68,0.78,1.15,1.19,0.8,0.81,1.67,3.18,3.19,4.31,4.08,4.66,0.93,0.99,1.97,2.65
8/14/23,7115,1.08,1.27,2.19,3.64,0.86,1.03,1.12,1.2,0.68,0.78,1.16,1.2,0.8,0.81,1.7,3.25,3.21,4.34,4.11,4.7,0.93,0.99,1.98,2.66
9/12/23,7639,1.03,1.21,2.1,3.45,0.87,1.04,1.13,1.21,0.68,0.78,1.15,1.19,0.78,0.8,1.67,3.21,3.2,4.32,4.09,4.67,0.92,0.97,1.94,2.6
9/18/23,7922,1.03,1.2,2.09,3.42,0.87,1.03,1.13,1.2,0.68,0.78,1.15,1.2,0.79,0.81,1.7,3.29,3.19,4.31,4.07,4.66,0.94,1,2,2.71
9/25/23,7968,1.04,1.22,2.11,3.49,0.86,1.02,1.12,1.2,0.68,0.78,1.16,1.2,0.82,0.84,1.74,3.38,3.18,4.3,4.06,4.64,0.91,0.96,1.93,2.59
10/17/23,8269,1.03,1.19,2.09,3.42,0.86,1.03,1.12,1.2,0.67,0.77,1.14,1.18,0.77,0.79,1.65,3.16,3.14,4.25,4.01,4.58,0.9,0.96,1.92,2.62
10/30/23,8426,1.11,1.35,2.31,3.96,0.85,1.03,1.12,1.2,0.67,0.77,1.14,1.18,0.8,0.81,1.69,3.27,3.14,4.23,4,4.58,0.9,0.96,1.92,2.58
11/9/23,8497,1.06,1.27,2.17,3.66,0.85,1.02,1.12,1.19,0.67,0.76,1.13,1.17,0.7,0.78,1.61,3.03,3.12,4.21,3.98,4.55,0.9,0.95,1.89,2.55
11/20/23,8697,1.08,1.29,2.22,3.76,0.87,1.05,1.13,1.21,0.68,0.78,1.14,1.18,0.79,0.79,1.64,3.09,3.16,4.26,4.02,4.6,0.93,1,1.98,2.75
12/4/23,8748,1.07,1.27,2.2,3.72,0.85,1.01,1.11,1.18,0.67,0.77,1.13,1.17,0.8,0.8,1.66,3.15,3.14,4.24,3.99,4.56,0.93,0.99,1.98,2.69
12/18/23,8892,1.03,1.24,2.11,3.54,0.85,1.02,1.11,1.19,0.67,0.77,1.14,1.18,0.79,0.8,1.65,3.17,3.16,4.27,4.03,4.62,0.96,1.05,2.06,2.99
1/11/24,8904,1.03,1.23,2.1,3.5,0.87,1.04,1.12,1.2,0.67,0.77,1.12,1.16,0.77,0.79,1.62,3.09,3.1,4.18,3.94,4.51,0.9,0.96,1.88,2.55
1/29/24,9117,1.04,1.23,2.11,3.5,0.87,1.05,1.13,1.21,0.63,0.72,1.08,1.12,0.82,,1.67,3.15,3.17,4.28,4.05,4.62,0.93,0.99,1.97,2.66
2/12/24,9528,1,1.19,2.04,3.37,0.77,1.06,1.13,1.22,0.63,0.73,1.08,1.12,0.77,0.79,1.68,3.24,3.18,4.3,4.06,4.65,0.92,0.98,1.95,2.63
2/25/24,9729,1.03,1.23,2.1,3.52,0.88,1.07,1.14,1.23,0.62,0.71,1.06,1.1,0.8,0.82,1.7,3.31,3.2,4.32,4.09,4.68,0.93,0.98,1.96,2.64
3/11/24,9818,1.13,1.42,2.33,4.02,0.88,1.06,1.13,1.22,0.62,0.72,1.07,1.11,0.8,0.82,1.7,3.3,3.19,4.31,4.07,4.66,0.92,0.98,1.95,2.65
4/4/24,10199,1.11,1.38,2.31,4,0.87,1.05,1.13,1.22,0.88,1.08,1.63,1.79,0.8,0.82,1.69,3.24,3.19,4.31,4.07,4.66,0.92,0.98,1.94,2.63
5/16/24,,1.02,1.21,2.08,3.43,,,,,0.69,0.79,1.18,1.24,0.78,0.81,1.67,3.2,3.19,4.31,4.09,4.68,0.93,1,1.98,2.76
7/1/24,11096,1.03,1.26,2.11,3.55,0.86,1.03,1.13,1.2,0.69,0.78,1.18,1.23,0.77,0.79,1.64,3.13,3.17,4.29,4.06,4.65,0.91,0.96,1.92,2.59
9/24/24,12066,1.06,1.27,2.17,3.67,0.87,1.05,1.13,1.21,0.68,0.78,1.16,1.21,0.79,0.8,1.67,3.17,3.18,4.3,4.07,4.66,0.88,0.92,1.81,2.42
10/7/24,12180,1.05,1.25,2.14,3.61,0.87,1.05,1.14,1.22,0.68,0.78,1.16,1.21,0.79,0.8,1.66,3.17,,,,,,,,
9/8/25,17845,1.06,1.25,2.13,3.49,0.89,1.07,1.17,1.25,0.64,0.71,1.07,1.07,0.8,0.82,1.7,3.21,3.3,4.46,4.23,4.84,0.88,0.93,1.83,2.45