Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive
CMH_016,A05,scan_062,711.6666667,0.525,A05,1,40,C4
CMH_057,B03,scan_034,760,0.646,B03,1,40,C4
CMH_057,E07,scan_062,788,0.675,E07,1,40,C4
NLM_166,C02,scan_025,716.7142857,0.472,C02,1,40,C4
NLM_166,F03,scan_028,769,0.629,F03,1,40,C4
NLM_166,C05,scan_054,782,0.621,C05,1,40,C4
NLM_166,F06,scan_057,766.4444444,0.643,F06,1,40,C4
CMH_016,B05,scan_062,750.5,0.596,B05,1,45,C4
CMH_057,C03,scan_035,762.5,0.649,C03,1,45,C4
CMH_057,F07,scan_063,781,0.65,F07,1,45,C4
CMH_059,E05,scan_043,789,0.653,E05,1,45,C4
CMH_059,D10,scan_087,810.5,0.697,D10,1,45,C4
CNH_049,E08,scan_036,740,0.597,E08,1,50,C4
CNH_049,G10,scan_040,668.5,0.486,G10,1,50,C4
CMH_057,G07,scan_063,779,0.674,G07,1,50,C4
NLM_166,G01,scan_024,771,0.543,G01,1,50,C4
NLM_166,B03,scan_028,785,0.62,B03,1,50,C4
NLM_166,G04,scan_053,786,0.656,G04,1,50,C4
NLM_166,B06,scan_056,793.3333333,0.67,B06,1,50,C4
CMH_038,D01,scan_024,748,0.596,D01,1,60,C4
CMH_038,C04,scan_052,763,0.638,C04,1,60,C4
CMH_057,E03,scan_035,798.8333333,0.688,E03,1,60,C4
CMH_057,H07,scan_063,808,0.667,H07,1,60,C4
CMH_068,A07,scan_051,776.5,0.631,A07,1,60,C4
CNH_049,F08,scan_036,759,0.613,F08,10,10,C4
CNH_049,H10,scan_040,689.5,0.561,H10,10,10,C4
CMH_038,E01,scan_024,740.6,0.73,E01,10,10,C4
CMH_038,D04,scan_052,788,0.668,D04,10,10,C4
CMH_068,B07,scan_051,743.5,0.573,B07,10,10,C4
CMH_038,F01,scan_024,760,0.624,F01,10,15,C4
CMH_038,E04,scan_052,751,0.608,E04,10,15,C4
CMH_057,F03,scan_036,725.5,0.587,F03,10,15,C4
CMH_057,A08,scan_063,730,0.618,A08,10,15,C4
CMH_068,C07,scan_051,744,0.564,C07,10,15,C4
CNH_049,G08,scan_036,713.25,0.579,G08,10,20,C4
CNH_049,A11,scan_040,725,0.549,A11,10,20,C4
CMH_038,G01,scan_024,775.3333333,0.622,G01,10,20,C4
CMH_038,F04,scan_052,782,0.637,F04,10,20,C4
CMH_068,D07,scan_051,770,0.594,D07,10,20,C4
CMH_016,G01,scan_028,745,0.592,G01,10,25,C4
CMH_016,C05,scan_062,699.125,0.59,C05,10,25,C4
CMH_057,G03,scan_036,767,0.623,G03,10,25,C4
CMH_057,B08,scan_064,756.3333333,0.614,B08,10,25,C4
CMH_016,H01,scan_028,763,0.561,H01,10,30,C4
CMH_016,D05,scan_062,724,0.833,D05,10,30,C4
CMH_038,H01,scan_024,776.6666667,0.623,H01,10,30,C4
CMH_038,G04,scan_052,758.25,0.628,G04,10,30,C4
CMH_068,E07,scan_051,782,0.633,E07,10,30,C4
CMH_016,A02,scan_028,644.6363636,0.519,A02,10,35,C4
CMH_016,E05,scan_062,708.5,0.499,E05,10,35,C4
CMH_057,H03,scan_036,772.6666667,0.638,H03,10,35,C4
CMH_057,C08,scan_064,738,0.615,C08,10,35,C4
NLM_166,H01,scan_025,752.8333333,0.512,H01,10,35,C4
NLM_166,C03,scan_028,786.4,0.628,C03,10,35,C4
NLM_166,H04,scan_053,775,0.622,H04,10,35,C4
NLM_166,C06,scan_057,762,0.647,C06,10,35,C4
CMH_016,B02,scan_028,757,0.6,B02,10,40,C4
CMH_016,F05,scan_062,746.5384615,0.532,F05,10,40,C4
CMH_038,A02,scan_025,755.6,0.613,A02,10,40,C4
CMH_038,H04,scan_053,794.3333333,0.652,H04,10,40,C4
CMH_068,F07,scan_052,818.3333333,0.651,F07,10,40,C4
CMH_016,C02,scan_028,755,0.592,C02,10,45,C4
CMH_016,G05,scan_062,729,0.521,G05,10,45,C4
CMH_057,A04,scan_037,760.6666667,0.647,A04,10,45,C4
CMH_057,D08,scan_064,775.5,0.643,D08,10,45,C4
CNH_049,H08,scan_036,710.5,0.556,H08,10,50,C4
CNH_049,B11,scan_040,728.5,0.577,B11,10,50,C4
CMH_016,D02,scan_029,767.5,0.563,D02,10,50,C4
CMH_016,H05,scan_062,741.25,0.51,H05,10,50,C4
CMH_038,B02,scan_025,752.5,0.631,B02,10,50,C4
CMH_038,A05,scan_053,800,0.685,A05,10,50,C4
CMH_068,G07,scan_052,798,0.649,G07,10,50,C4
CMH_016,E02,scan_029,789,0.605,E02,10,55,C4
CMH_016,A06,scan_062,704,0.548,A06,10,55,C4
CMH_057,B04,scan_037,798,0.661,B04,10,55,C4
CMH_057,E08,scan_064,773,0.662,E08,10,55,C4
CMH_016,F02,scan_029,769,0.623,F02,10,60,C4
CMH_016,B06,scan_063,735.2,0.504,B06,10,60,C4
CMH_038,C02,scan_025,789,0.613,C02,10,60,C4
CMH_038,B05,scan_053,800,0.675,B05,10,60,C4
CMH_068,H07,scan_052,812,0.639,H07,10,60,C4
CMH_016,G02,scan_029,781,0.599,G02,100,7,C4
CMH_016,C06,scan_063,751.3333333,0.575,C06,100,7,C4
CMH_038,D02,scan_026,777,0.606,D02,100,7,C4
CMH_038,C05,scan_054,802,0.628,C05,100,7,C4
CMH_068,A08,scan_052,762.5,0.595,A08,100,7,C4
CMH_016,H02,scan_030,762,0.578,H02,100,8,C4
CMH_016,D06,scan_063,751.3333333,0.59,D06,100,8,C4
CMH_038,E02,scan_026,788,0.664,E02,100,8,C4
CMH_038,D05,scan_054,744,0.606,D05,100,8,C4
CMH_068,B08,scan_053,782,0.619,B08,100,8,C4
CMH_016,A03,scan_030,784,0.616,A03,100,9,C4
CMH_016,E06,scan_064,775,0.642,E06,100,9,C4
CMH_038,F02,scan_026,801,0.647,F02,100,9,C4
CMH_038,E05,scan_054,763,0.583,E05,100,9,C4
CMH_068,C08,scan_053,793,0.645,C08,100,9,C4
CNH_049,A09,scan_036,789,0.627,A09,100,10,C4
CNH_049,C11,scan_040,780.6666667,0.619,C11,100,10,C4
CMH_057,C04,scan_037,797.25,0.645,C04,100,10,C4
CMH_057,F08,scan_065,789.5,0.674,F08,100,10,C4
CMH_016,B03,scan_030,739,0.521,B03,100,12,C4
CMH_016,F06,scan_064,759,0.567,F06,100,12,C4
CMH_038,G02,scan_027,807.5,0.671,G02,100,12,C4
CMH_038,F05,scan_054,797,0.636,F05,100,12,C4
CMH_068,D08,scan_053,792,0.635,D08,100,12,C4
CMH_016,C03,scan_031,797.6,0.634,C03,100,14,C4
CMH_016,G06,scan_064,811,0.67,G06,100,14,C4
CMH_057,D04,scan_038,772.5,0.635,D04,100,14,C4
CMH_057,G08,scan_065,776,0.616,G08,100,14,C4
CMH_016,D03,scan_031,755,0.565,D03,100,16,C4
CMH_016,H06,scan_064,847.4,0.716,H06,100,16,C4
CMH_038,H02,scan_027,841,0.693,H02,100,16,C4
CMH_038,G05,scan_055,798,0.65,G05,100,16,C4
CMH_068,E08,scan_053,781,0.607,E08,100,16,C4
CMH_016,E03,scan_031,837.5,0.691,E03,100,18,C4
CMH_016,A07,scan_065,780.2,0.603,A07,100,18,C4
CMH_038,A03,scan_027,815,0.689,A03,100,18,C4
CMH_038,H05,scan_055,775,0.647,H05,100,18,C4
CMH_068,F08,scan_054,786.5,0.622,F08,100,18,C4
CNH_049,B09,scan_036,833.5,0.61,B09,100,20,C4
CNH_049,D11,scan_040,783,0.492,D11,100,20,C4
CMH_057,E04,scan_038,782,0.631,E04,100,20,C4
CMH_057,H08,scan_065,795,0.644,H08,100,20,C4
CMH_016,F03,scan_032,840,0.675,F03,100,25,C4
CMH_016,B07,scan_065,764,0.609,B07,100,25,C4
CMH_038,B03,scan_028,820.5,0.669,B03,100,25,C4
CMH_038,A06,scan_055,790.8,0.65,A06,100,25,C4
CMH_068,G08,scan_054,790,0.602,G08,100,25,C4
CMH_016,G03,scan_032,816.6666667,0.634,G03,100,30,C4
CMH_016,C07,scan_065,804.6666667,0.863,C07,100,30,C4
CMH_038,C03,scan_028,814,0.669,C03,100,30,C4
CMH_038,B06,scan_056,801.5,0.62,B06,100,30,C4
CMH_068,H08,scan_054,801.3333333,0.598,H08,100,30,C4
CMH_016,H03,scan_032,814.6666667,0.634,H03,100,35,C4
CMH_038,D03,scan_028,805.5714286,0.665,D03,100,35,C4
CMH_038,C06,scan_056,784,0.627,C06,100,35,C4
CMH_068,A09,scan_054,793,0.595,A09,100,35,C4
CMH_016,A04,scan_032,823,0.648,A04,100,40,C4
CMH_016,E07,scan_066,822,0.671,E07,100,40,C4
CMH_038,E03,scan_028,797,0.629,E03,100,40,C4
CMH_038,D06,scan_056,786,0.632,D06,100,40,C4
CMH_068,B09,scan_055,797.6666667,0.612,B09,100,40,C4
CMH_016,B04,scan_032,825.5,0.671,B04,100,45,C4
CMH_016,F07,scan_066,799,0.611,F07,100,45,C4
CMH_038,F03,scan_028,785,0.658,F03,100,45,C4
CMH_038,E06,scan_056,782,0.544,E06,100,45,C4
CMH_068,C09,scan_055,783.5,0.594,C09,100,45,C4
CNH_049,C09,scan_036,845.5,0.585,C09,100,50,C4
CNH_049,E11,scan_040,813,0.555,E11,100,50,C4
CMH_016,C04,scan_032,813,0.603,C04,100,50,C4
CMH_038,G03,scan_028,804.1,0.416,G03,100,50,C4
CMH_038,F06,scan_056,758.4,0.681,F06,100,50,C4
CMH_068,D09,scan_055,772,0.55,D09,100,50,C4
CMH_016,D04,scan_032,798,0.534,D04,100,55,C4
CMH_016,H07,scan_066,792,0.611,H07,100,55,C4
CMH_038,H03,scan_028,773,0.485,H03,100,55,C4
CMH_038,G06,scan_056,729,0.484,G06,100,55,C4
CMH_068,E09,scan_055,761,0.557,E09,100,55,C4
CMH_016,E04,scan_032,751,0.48,E04,100,60,C4
CMH_016,A08,scan_066,642,0.287,A08,100,60,C4
CMH_038,A04,scan_028,746.5,0.541,A04,100,60,C4
CMH_038,H06,scan_056,752.25,0.473,H06,100,60,C4
CMH_068,F09,scan_055,751,0.537,F09,100,60,C4
CNH_065,C07,scan_036,645.2,0.506,C07,0.001,20,C1
CNH_065,E09,scan_037,690,0.529,E09,0.001,20,C1
CNH_065,D07,scan_036,727,0.542,D07,0.001,50,C1
CNH_065,F09,scan_037,711,0.526,F09,0.001,50,C1
CNH_065,E07,scan_036,693,0.543,E07,0.01,10,C1
CNH_065,G09,scan_037,688.4,0.519,G09,0.01,10,C1
CNH_065,F07,scan_036,705,0.526,F07,0.01,20,C1
CNH_065,H09,scan_038,715.75,0.539,H09,0.01,20,C1
CNH_065,G07,scan_036,692.5555556,0.526,G07,0.01,50,C1
CNH_065,A10,scan_038,692.5,0.523,A10,0.01,50,C1
CNH_065,H07,scan_036,706,0.554,H07,0.1,10,C1
CNH_065,B10,scan_038,680.8333333,0.544,B10,0.1,10,C1
CNH_065,A08,scan_036,693,0.532,A08,0.1,20,C1
CNH_065,C10,scan_039,689,0.551,C10,0.1,20,C1
CNH_065,B08,scan_036,754,0.585,B08,0.1,50,C1
CNH_065,D10,scan_039,741.5,0.56,D10,0.1,50,C1
CNH_065,C08,scan_036,687.6666667,0.554,C08,1,10,C1
CNH_065,E10,scan_039,669,0.542,E10,1,10,C1
CNH_065,D08,scan_036,691.25,0.528,D08,1,20,C1
CNH_065,F10,scan_040,709.3333333,0.543,F10,1,20,C1
CMH_057,B01,scan_034,728.5,0.598,B01,1,20,C1
CMH_018,C01,scan_028,734.3333333,0.556,C01,1,30,C1
CMH_018,G04,scan_062,730,0.57,G04,1,30,C1
CMH_037,C01,scan_024,765.8571429,0.582,C01,1,30,C1
CMH_037,B04,scan_052,759.25,0.596,B04,1,30,C1
CMH_018,D01,scan_028,710,0.547,D01,1,35,C1
CMH_018,H04,scan_062,730,0.561,H04,1,35,C1
CMH_057,C01,scan_034,745,0.611,C01,1,35,C1
CMH_018,E01,scan_028,710.5,0.529,E01,1,40,C1
CMH_018,A05,scan_062,715.3333333,0.548,A05,1,40,C1
CMH_057,D01,scan_034,778.5,0.655,D01,1,40,C1
CMH_063,B01,scan_028,774,0.635,B01,1,40,C1
CMH_063,F04,scan_061,795.75,0.653,F04,1,40,C1
CMH_018,F01,scan_028,740,0.541,F01,1,45,C1
CMH_018,B05,scan_062,743,0.544,B05,1,45,C1
CMH_057,E01,scan_034,754,0.621,E01,1,45,C1
CNH_065,E08,scan_036,726.8333333,0.562,E08,1,50,C1
CNH_065,G10,scan_040,721.6,0.562,G10,1,50,C1
CMH_057,F01,scan_034,757.6,0.622,F01,1,50,C1
CMH_073,F07,scan_052,760.5,0.574,F07,1,50,C1
CMH_073,G07,scan_053,792,0.597,G07,1,50,C1
CMH_073,H07,scan_053,773.8888889,0.584,H07,1,50,C1
CMH_037,D01,scan_024,793,0.606,D01,1,60,C1
CMH_057,G01,scan_034,773.6666667,0.658,G01,1,60,C1
CMH_063,C01,scan_028,788,0.64,C01,1,60,C1
CMH_063,G04,scan_061,789.5,0.657,G04,1,60,C1
CNH_065,F08,scan_036,758,0.582,F08,10,10,C1
CNH_065,H10,scan_040,725,0.577,H10,10,10,C1
CMH_037,E01,scan_024,745,0.559,E01,10,10,C1
CMH_037,D04,scan_052,740,0.568,D04,10,10,C1
CMH_037,F01,scan_024,751.5,0.554,F01,10,15,C1
CMH_037,E04,scan_052,751.1666667,0.555,E04,10,15,C1
CMH_057,H01,scan_034,713.6666667,0.58,H01,10,15,C1
CMH_063,D01,scan_028,764,0.591,D01,10,15,C1
CMH_063,H04,scan_061,760,0.593,H04,10,15,C1
CNH_065,G08,scan_036,749.1666667,0.558,G08,10,20,C1
CNH_065,A11,scan_040,726.6666667,0.578,A11,10,20,C1
CMH_037,G01,scan_024,769,0.617,G01,10,20,C1
CMH_037,F04,scan_052,769,0.611,F04,10,20,C1
CMH_018,G01,scan_028,803,0.618,G01,10,25,C1
CMH_018,C05,scan_062,768,0.592,C05,10,25,C1
CMH_057,A02,scan_034,703,0.585,A02,10,25,C1
NLM_166,D02,scan_026,808.3333333,0.563,D02,10,25,C1
NLM_166,G03,scan_028,782,0.606,G03,10,25,C1
NLM_166,D05,scan_055,775.5,0.616,D05,10,25,C1
NLM_166,G06,scan_057,751.6666667,0.648,G06,10,25,C1
CMH_018,H01,scan_028,790.5714286,0.592,H01,10,30,C1
CMH_018,D05,scan_062,790.8181818,0.604,D05,10,30,C1
CMH_037,H01,scan_024,812,0.66,H01,10,30,C1
CMH_037,G04,scan_052,796,0.645,G04,10,30,C1
CMH_018,A02,scan_028,758,0.572,A02,10,35,C1
CMH_018,E05,scan_062,772,0.586,E05,10,35,C1
CMH_057,B02,scan_034,721,0.592,B02,10,35,C1
CMH_037,A02,scan_025,800,0.624,A02,10,40,C1
CMH_037,H04,scan_053,819,0.665,H04,10,40,C1
CMH_059,F05,scan_043,817,0.655,F05,10,40,C1
CMH_059,E10,scan_087,819.5,0.691,E10,10,40,C1
CMH_018,C02,scan_028,760,0.557,C02,10,45,C1
CMH_057,C02,scan_034,723.5,0.583,C02,10,45,C1
CMH_063,E01,scan_028,819,0.633,E01,10,45,C1
CMH_063,A05,scan_061,849,0.665,A05,10,45,C1
NLM_166,F01,scan_024,798,0.503,F01,10,45,C1
NLM_166,A03,scan_027,795.3333333,0.594,A03,10,45,C1
NLM_166,F04,scan_053,788,0.572,F04,10,45,C1
NLM_166,A06,scan_056,811,0.62,A06,10,45,C1
CNH_065,H08,scan_036,783.6666667,0.582,H08,10,50,C1
CNH_065,B11,scan_040,763,0.59,B11,10,50,C1
CMH_018,D02,scan_029,754,0.523,D02,10,50,C1
CMH_018,H05,scan_062,782.6666667,0.578,H05,10,50,C1
CMH_037,B02,scan_025,790,0.607,B02,10,50,C1
CMH_037,A05,scan_053,851,0.674,A05,10,50,C1
CMH_018,E02,scan_029,743,0.489,E02,10,55,C1
CMH_018,A06,scan_062,778,0.623,A06,10,55,C1
CMH_057,D02,scan_034,706.5,0.569,D02,10,55,C1
CMH_018,B06,scan_063,799,0.605,B06,10,60,C1
CMH_037,C02,scan_025,805,0.597,C02,10,60,C1
CMH_037,B05,scan_053,815,0.63,B05,10,60,C1
CMH_063,F01,scan_028,797,0.592,F01,10,60,C1
CMH_063,B05,scan_061,788.5,0.597,B05,10,60,C1
CMH_018,G02,scan_029,847.7142857,0.656,G02,100,7,C1
CMH_018,C06,scan_063,809,0.651,C06,100,7,C1
CMH_037,D02,scan_026,819,0.64,D02,100,7,C1
CMH_037,C05,scan_054,774.5,0.626,C05,100,7,C1
CMH_018,H02,scan_030,819.6666667,0.58,H02,100,8,C1
CMH_037,E02,scan_026,816,0.626,E02,100,8,C1
CMH_037,D05,scan_054,823.25,0.642,D05,100,8,C1
CMH_018,A03,scan_030,866,0.681,A03,100,9,C1
CMH_018,E06,scan_064,819.75,0.603,E06,100,9,C1
CMH_037,F02,scan_026,812.3333333,0.567,F02,100,9,C1
CMH_037,E05,scan_054,833.2857143,0.677,E05,100,9,C1
CNH_065,A09,scan_036,780,0.506,A09,100,10,C1
CNH_065,C11,scan_040,802,0.582,C11,100,10,C1
CMH_057,E02,scan_034,836.5,0.633,E02,100,10,C1
CMH_057,H06,scan_062,846,0.617,H06,100,10,C1
CMH_018,B03,scan_030,842,0.621,B03,100,12,C1
CMH_018,F06,scan_064,823,0.61,F06,100,12,C1
CMH_037,G02,scan_027,870.5,0.641,G02,100,12,C1
CMH_037,F05,scan_054,846,0.607,F05,100,12,C1
CMH_018,C03,scan_031,792,0.562,C03,100,14,C1
CMH_018,G06,scan_064,870,0.621,G06,100,14,C1
CMH_057,F02,scan_034,853,0.633,F02,100,14,C1
CMH_057,A07,scan_062,849,0.614,A07,100,14,C1
CMH_018,D03,scan_031,882.5,0.629,D03,100,16,C1
CMH_018,H06,scan_064,840,0.555,H06,100,16,C1
CMH_037,H02,scan_027,851,0.532,H02,100,16,C1
CMH_037,G05,scan_055,808,0.541,G05,100,16,C1
CMH_018,E03,scan_031,848,0.525,E03,100,18,C1
CMH_018,A07,scan_065,870,0.59,A07,100,18,C1
CMH_037,A03,scan_027,863,0.574,A03,100,18,C1
CMH_037,H05,scan_055,875,0.605,H05,100,18,C1
CNH_065,B09,scan_036,846,0.509,B09,100,20,C1
CNH_065,D11,scan_040,776.4285714,0.457,D11,100,20,C1
CMH_057,B07,scan_062,927,0.595,B07,100,20,C1
CMH_059,G05,scan_043,866.5,0.542,G05,100,20,C1
NLM_166,C01,scan_024,654.2,0.335,C01,100,20,C1
NLM_166,F02,scan_026,834,0.489,F02,100,20,C1
NLM_166,C04,scan_053,867,0.533,C04,100,20,C1
NLM_166,F05,scan_055,898.5,0.577,F05,100,20,C1
NLM_168,B01,scan_015,873,0.404,B01,100,20,C1
NLM_168,E01,scan_016,851,0.344,E01,100,20,C1
NLM_168,H01,scan_016,814.5,0.392,H01,100,20,C1
NLM_168,C02,scan_016,794.3333333,0.372,C02,100,20,C1
NLM_168,F02,scan_032,790,0.312,F02,100,20,C1
NLM_168,A03,scan_032,859.8333333,0.496,A03,100,20,C1
NLM_168,D03,scan_033,811,0.45,D03,100,20,C1
NLM_168,G03,scan_034,779.5,0.384,G03,100,20,C1
CMH_018,F03,scan_032,895,0.562,F03,100,25,C1
CMH_018,B07,scan_065,917,0.547,B07,100,25,C1
CMH_037,B03,scan_028,932,0.576,B03,100,25,C1
CMH_037,A06,scan_055,951,0.633,A06,100,25,C1
CMH_018,G03,scan_032,938,0.534,G03,100,30,C1
CMH_018,C07,scan_065,986,0.593,C07,100,30,C1
CMH_037,C03,scan_028,982,0.603,C03,100,30,C1
CMH_037,B06,scan_056,936,0.548,B06,100,30,C1
CMH_018,H03,scan_032,987.6666667,0.594,H03,100,35,C1
CMH_018,D07,scan_065,925,0.649,D07,100,35,C1
CMH_037,D03,scan_028,992,0.558,D03,100,35,C1
CMH_037,C06,scan_056,973,0.564,C06,100,35,C1
CMH_018,A04,scan_032,975,0.579,A04,100,40,C1
CMH_018,E07,scan_066,968.3333333,0.561,E07,100,40,C1
CMH_037,E03,scan_028,970,0.534,E03,100,40,C1
CMH_018,B04,scan_032,953.5,0.542,B04,100,45,C1
CMH_018,F07,scan_066,987.6666667,0.542,F07,100,45,C1
CMH_037,F03,scan_028,969.5,0.464,F03,100,45,C1
CMH_037,E06,scan_056,970.25,0.564,E06,100,45,C1
CNH_065,C09,scan_036,921,0.448,C09,100,50,C1
CNH_065,E11,scan_040,969.5,0.439,E11,100,50,C1
CMH_018,C04,scan_032,953,0.457,C04,100,50,C1
CMH_018,G07,scan_066,969.5,0.539,G07,100,50,C1
CMH_037,G03,scan_028,905,0.291,G03,100,50,C1
CMH_037,F06,scan_056,966,0.437,F06,100,50,C1
CMH_018,D04,scan_032,962,0.445,D04,100,55,C1
CMH_018,H07,scan_066,969.5,0.476,H07,100,55,C1
CMH_037,H03,scan_028,971,0.444,H03,100,55,C1
CMH_037,G06,scan_056,966,0.294,G06,100,55,C1
CMH_018,E04,scan_032,934.5,0.267,E04,100,60,C1
CMH_018,A08,scan_066,970,0.485,A08,100,60,C1
CMH_037,A04,scan_028,957,0.288,A04,100,60,C1
CMH_037,H06,scan_056,970.5,0.361,H06,100,60,C1
CMH_063,G01,scan_028,938,0.265,G01,100,60,C1
CMH_063,C05,scan_061,950,0.273,C05,100,60,C1